,Name,Age,OVA,Nationality,Club,BOV,BP,Position,POT,Height,Weight,foot,Growth,Value,Wage,Release Clause
2888,M. Saunier,30,68,France,FC Lorient,68,CB,CB,68,72,168lbs,Right,0,725000.0,11000.0,1500000.0
2889,J. Cuadrado,32,81,Colombia,Juventus,82,RW,RB RM RW,81,70,159lbs,Right,0,11000000.0,79000.0,18200000.0
2890,R. Draper,31,61,England,Ross County FC,64,CB,CM CDM,61,77,192lbs,Right,0,220000.0,1000.0,385000.0
2891,B. Nuytinck,30,72,Netherlands,Udinese,72,CB,CB,72,75,181lbs,Left,0,2500000.0,12000.0,4500000.0
2892,M. Rojas,28,70,New Zealand,New Zealand,70,RM,RM CAM LM,70,66,141lbs,Right,0,1800000.0,6000.0,2300000.0
2893,S. Salger,30,67,Germany,TSV 1860 München,67,CB,CB CDM LB,67,72,168lbs,Left,0,625000.0,1000.0,906000.0
2894,C. Clemens,28,71,Germany,1. FC Köln,71,RM,RM LM,71,70,174lbs,Right,0,2400000.0,18000.0,4300000.0
2895,A. Areola,27,82,France,Fulham,82,GK,GK,86,77,207lbs,Right,4,20000000.0,93000.0,0.0
2896,T. Jänicke,31,64,Germany,1. FC Saarbrücken,64,RM,RM,64,70,161lbs,Right,0,400000.0,2000.0,580000.0
2897,M. Gonalons,31,76,France,Granada CF,76,CDM,CDM CM,76,74,168lbs,Right,0,6000000.0,23000.0,12600000.0
2898,A. Taylor,29,66,Wales,Aberdeen,66,CB,CB,66,76,168lbs,Right,0,550000.0,3000.0,963000.0
2899,T. Konrad,29,65,Germany,VfL Osnabrück,65,CB,CB,65,73,176lbs,Right,0,450000.0,4000.0,698000.0
2900,A. Schürrle,28,77,Germany,Spartak Moscow,77,LW,LW RW LM,77,72,157lbs,Right,0,9000000.0,59000.0,14400000.0
2901,J. Larsen,29,75,Denmark,Udinese,75,RM,RM,75,72,181lbs,Right,0,6500000.0,18000.0,11700000.0
2902,I. Pillud,34,75,Argentina,Racing Club,75,RB,RB,75,70,181lbs,Right,0,2300000.0,17000.0,3200000.0
2903,Roderick Miranda,29,69,Portugal,Wolverhampton Wanderers,70,CB,CB,70,76,196lbs,Right,1,1000000.0,30000.0,2000000.0
2904,V. Le Goff,30,74,France,FC Lorient,74,LB,LB,74,70,152lbs,Left,0,4400000.0,24000.0,8800000.0
2905,Herrerín,32,78,Spain,Athletic Club de Bilbao,78,GK,GK,78,74,196lbs,Right,0,6500000.0,19000.0,13700000.0
2906,D. Pröpper,28,76,Netherlands,Brighton & Hove Albion,76,CM,CM CDM,76,73,174lbs,Right,0,7500000.0,53000.0,14300000.0
2907,J. Corona,27,84,Mexico,Mexico,84,RM,RM RB,84,68,137lbs,Right,0,32500000.0,25000.0,65000000.0
2908,L. Madrigal,26,65,Mexico,Club Necaxa,65,ST,ST,66,75,198lbs,Right,1,650000.0,4000.0,0.0
2909,C. Santos,32,68,Venezuela,VfL Osnabrück,68,ST,ST,68,72,174lbs,Left,0,725000.0,6000.0,1100000.0
2910,Jaume Costa,32,79,Spain,Villarreal CF,79,LB,LB,79,67,137lbs,Left,0,8000000.0,34000.0,16800000.0
2911,B. Marshall,27,71,England,Millwall,70,RM,LM RM RB,71,71,183lbs,Right,0,2500000.0,10000.0,0.0
2912,A. Traoré,30,69,Ivory Coast,Melbourne Victory,69,LB,LB,69,67,161lbs,Left,0,825000.0,5000.0,1000000.0
2913,A. Hemmings,25,62,England,Mansfield Town,62,LM,LM RM CAM,63,67,159lbs,Left,1,325000.0,3000.0,0.0
2914,W. Foderingham,29,71,England,Sheffield United,71,GK,GK,71,73,165lbs,Left,0,1700000.0,17000.0,3200000.0
2915,S. Malone,29,70,England,Millwall,70,LWB,LWB LB,70,74,165lbs,Left,0,1500000.0,8000.0,0.0
2916,N. Etheridge,30,73,Philippines,Birmingham City,73,GK,GK,74,75,187lbs,Right,1,3100000.0,12000.0,6100000.0
2917,K. Bennett,29,63,England,Bristol Rovers,63,LM,LM,63,65,134lbs,Right,0,350000.0,3000.0,613000.0
2918,N. Gudelj,28,79,Serbia,Sevilla FC,79,CDM,CDM CM,80,74,161lbs,Right,1,12500000.0,30000.0,27200000.0
2919,J. Vunguidica,30,61,Angola,1. FC Saarbrücken,61,ST,ST LM,61,73,185lbs,Right,0,240000.0,1000.0,348000.0
2920,A. Ignjovski,29,66,Serbia,Holstein Kiel,66,CDM,CDM RB LB,66,69,157lbs,Right,0,550000.0,6000.0,853000.0
2921,F. Giefer,30,70,Germany,FC Würzburger Kickers,70,GK,GK,70,77,205lbs,Right,0,1200000.0,8000.0,1900000.0
2922,B. Jeannot,28,68,France,Stade Malherbe Caen,68,ST,ST RW,68,72,172lbs,Right,0,925000.0,4000.0,1600000.0
2923,J. Kotzke,30,62,Germany,FC Ingolstadt 04,62,CB,CB CDM,62,72,179lbs,Right,0,250000.0,2000.0,363000.0
2924,K. Conrad,28,65,Germany,SV Waldhof Mannheim,65,CB,CB LB RB,66,71,172lbs,Right,1,525000.0,1000.0,801000.0
2925,B. Shuttleworth,33,66,United States,Chicago Fire,66,GK,GK,66,74,205lbs,Right,0,350000.0,2000.0,525000.0
2926,H. Lindner,29,73,Austria,FC Basel 1893,73,GK,GK,73,74,176lbs,Right,0,2800000.0,11000.0,4200000.0
2927,C. Schösswendter,31,65,Austria,FC Admira Wacker Mödling,65,CB,CB,65,76,179lbs,Right,0,400000.0,3000.0,580000.0
2928,C. Trimmel,33,75,Austria,1. FC Union Berlin,75,RB,RB RM,75,74,181lbs,Right,0,3000000.0,25000.0,5400000.0
2929,P. Farkas,27,72,Austria,FC Red Bull Salzburg,72,RB,RB RM LB,72,70,172lbs,Right,0,2800000.0,18000.0,4200000.0
2930,F. Pisacane,34,73,Italy,Cagliari,73,CB,CB RB,73,70,170lbs,Right,0,1500000.0,23000.0,2600000.0
2931,S. Şahin-Radlinger,27,68,Austria,SV Ried,68,GK,GK,70,77,183lbs,Right,2,750000.0,4000.0,1100000.0
2932,C. Mavinga,29,71,DR Congo,Toronto FC,71,CB,CB,71,73,172lbs,Left,0,2000000.0,6000.0,3000000.0
2933,T. Delaney,28,81,Denmark,Borussia Dortmund,82,CB,CDM CM,81,72,174lbs,Left,0,16000000.0,63000.0,27200000.0
2934,M. Braithwaite,29,76,Denmark,FC Barcelona,76,ST,ST LM,76,70,161lbs,Right,0,7500000.0,125000.0,15400000.0
2935,A. Lacazette,29,83,France,Arsenal,83,ST,ST,83,69,170lbs,Right,0,26000000.0,125000.0,49400000.0
2936,F. Kurto,29,70,Poland,Western United FC,70,GK,GK,72,75,181lbs,Right,2,1500000.0,2000.0,2000000.0
2937,A. Richards  B,28,68,Wales,Cardiff City,68,RB,RB LB RWB,68,69,165lbs,Right,0,775000.0,11000.0,1500000.0
2938,D. Schmidt,33,64,Germany,MSV Duisburg,64,CB,CB,64,74,172lbs,Right,0,210000.0,900.0,305000.0
2939,P. Bargfrede,30,75,Germany,SV Werder Bremen,75,CDM,CDM,75,69,157lbs,Right,0,5500000.0,23000.0,9400000.0
2940,S. Mielitz,30,67,Germany,Viktoria Köln,67,GK,GK,67,75,183lbs,Right,0,525000.0,2000.0,761000.0
2941,Aitor,29,83,Spain,Levante UD,83,GK,GK,83,72,172lbs,Right,0,18500000.0,31000.0,38900000.0
2942,K. Darlow,29,73,England,Newcastle United,73,GK,GK,75,75,172lbs,Right,2,3400000.0,24000.0,6700000.0
2943,V. Belec,30,72,Slovenia,Slovenia,72,GK,GK,73,76,185lbs,Right,1,0.0,0.0,0.0
2944,J. Obi,29,71,Nigeria,Chievo Verona,73,CAM,CM,71,69,157lbs,Left,0,2300000.0,3000.0,3600000.0
2945,M. Destro,29,71,Italy,Genoa,71,ST,ST,71,72,176lbs,Right,0,2400000.0,13000.0,4300000.0
2946,X. Shaqiri,28,81,Switzerland,Liverpool,81,RM,RM,81,67,159lbs,Left,0,18000000.0,105000.0,33299999.999999996
2947,B. Başdaş,30,65,Turkey,Hannover 96,65,CB,CB,65,74,174lbs,Right,0,450000.0,6000.0,720000.0
2948,R. Rodríguez,27,78,Switzerland,Torino,78,LB,LB,78,71,170lbs,Left,0,9000000.0,41000.0,15300000.0
2949,L. Hodson,28,63,Northern Ireland,Hamilton Academical FC,63,RB,RB LB,63,69,157lbs,Right,0,325000.0,2000.0,0.0
2950,Romário,34,64,Brazil,Kalmar FF,65,CAM,CM,64,68,159lbs,Right,0,220000.0,1000.0,275000.0
2951,R. Romo,30,66,Venezuela,Oud-Heverlee Leuven,66,GK,GK,66,78,187lbs,Right,0,425000.0,3000.0,616000.0
2952,R. Soriano,29,77,Italy,Bologna,77,CAM,CAM CM,77,72,168lbs,Right,0,8500000.0,34000.0,15300000.0
2953,Galán,32,67,Spain,CF Rayo Majadahonda,67,RB,CB RB,67,71,174lbs,Right,0,450000.0,3000.0,698000.0
2954,L. Nomenjanahary,34,66,Madagascar,Paris FC,66,RM,RM RW LM,66,70,170lbs,Left,0,325000.0,3000.0,569000.0
2955,H. Seferović,28,75,Switzerland,Switzerland,75,ST,ST,75,74,187lbs,Left,0,7000000.0,15000.0,14000000.0
2956,K. Fickentscher,31,67,Switzerland,FC Sion,67,GK,GK,67,71,172lbs,Right,0,500000.0,8000.0,725000.0
2957,M. Schmiedebach,30,69,Germany,1. FC Union Berlin,69,CDM,CDM,69,67,154lbs,Right,0,875000.0,16000.0,1600000.0
2958,T. Børven,28,71,Norway,MKE Ankaragücü,71,ST,ST,71,73,159lbs,Right,0,2400000.0,19000.0,4800000.0
2959,H. Behrens,30,71,Germany,1. FC Nürnberg,73,CB,CM CAM CDM,71,74,181lbs,Right,0,2200000.0,9000.0,3500000.0
2960,M. Beister,29,67,Germany,FC Ingolstadt 04,67,RM,RM ST LM,67,71,176lbs,Left,0,750000.0,4000.0,1100000.0
2961,F. Berenguer,31,64,France,Melbourne City FC,66,CAM,CM LM,64,72,154lbs,Right,0,375000.0,3000.0,469000.0
2962,Douglas,29,74,Brazil,Beşiktaş JK,74,RB,RB RM,74,67,132lbs,Right,0,4600000.0,47000.0,9200000.0
2963,N. Viergever,30,75,Netherlands,PSV,75,CB,CB,75,72,170lbs,Left,0,5500000.0,15000.0,7700000.0
2964,Azeez,18,51,Nigeria,Os Belenenses,62,ST,CM,56,68,148lbs,Right,5,0.0,0.0,0.0
2965,L. Benito,28,74,Switzerland,FC Girondins de Bordeaux,74,LB,LB LM CB,74,73,187lbs,Left,0,4800000.0,26000.0,9100000.0
2966,Víctor Ruiz,31,77,Spain,Real Betis,77,CB,CB,77,73,172lbs,Left,0,6500000.0,22000.0,13700000.0
2967,A. Souquet,28,75,France,Montpellier HSC,75,RWB,RWB RB,75,70,163lbs,Right,0,5500000.0,28000.0,11000000.0
2968,I. Gueye,30,84,Senegal,Paris Saint-Germain,84,CDM,CDM CM,84,69,146lbs,Right,0,25500000.0,105000.0,47200000.0
2969,P. Souaré,29,70,Senegal,ESTAC Troyes,70,LB,LB LWB,70,70,146lbs,Left,0,1500000.0,5000.0,2700000.0
2970,R. Cabella,28,78,France,AS Saint-Étienne,77,CAM,CAM,78,67,157lbs,Right,0,10500000.0,40000.0,20000000.0
2971,André Santos,30,70,Portugal,Os Belenenses,70,CM,CM CDM,70,70,154lbs,Right,0,1600000.0,5000.0,3400000.0
2972,S. Caulker,28,70,England,Alanyaspor,72,CB,CB,72,75,170lbs,Right,2,1800000.0,8000.0,3700000.0
2973,I. Martić,29,70,Switzerland,FC Sion,70,RB,RB,70,72,165lbs,Right,0,1500000.0,16000.0,2200000.0
2974,D. Novaretti,35,70,Argentina,Rosario Central,70,CB,CB,70,76,201lbs,Left,0,550000.0,6000.0,825000.0
2975,M. Heča,29,74,Czech Republic,Sparta Praha,74,GK,GK,76,74,183lbs,Right,2,4700000.0,500.0,10700000.0
2976,B. Tshibuabua,18,61,DR Congo,Beerschot AC,61,ST,ST CF,71,70,157lbs,Right,10,0.0,0.0,0.0
2977,F. Lepore,34,65,Italy,AC Monza,65,RB,RB RM RW,65,70,159lbs,Right,0,190000.0,1000.0,304000.0
2978,Mário Fernandes,29,82,Russia,PFC CSKA Moscow,82,RWB,RWB RM,82,74,176lbs,Right,0,18500000.0,59000.0,29600000.0
2979,I. Sylla,29,68,Guinea,SV Zulte-Waregem,68,ST,ST,68,73,170lbs,Left,0,900000.0,7000.0,1400000.0
2980,G. Medel,32,77,Chile,Bologna,77,CDM,CDM CB,77,67,168lbs,Right,0,6000000.0,30000.0,10800000.0
2981,S. Prediger,33,67,Argentina,Club Atlético Tigre,67,CDM,CDM CM,67,72,187lbs,Right,0,375000.0,5000.0,544000.0
2982,S. Hutchinson,29,73,England,Millwall,73,CB,CB,73,74,176lbs,Right,0,3400000.0,13000.0,6500000.0
2983,B. Kayal,31,71,Israel,Brighton & Hove Albion,71,CM,CM CDM,71,70,163lbs,Right,0,2000000.0,28000.0,3800000.0
2984,D. Sakho,29,73,Senegal,Stade Rennais FC,72,ST,ST,73,72,174lbs,Right,0,4000000.0,30000.0,7600000.0
2985,F. Nouble,28,63,England,Plymouth Argyle,64,ST,LM ST,63,75,181lbs,Right,0,375000.0,3000.0,656000.0
2986,K. Leerdam,30,71,Netherlands,Seattle Sounders FC,71,RB,RB LB,71,70,154lbs,Right,0,1900000.0,5000.0,2900000.0
2987,M. Álvarez,28,69,Germany,Cracovia,71,CAM,ST CAM LM,69,70,176lbs,Right,0,1100000.0,6000.0,1500000.0
2988,T. Lees,29,70,England,Sheffield Wednesday,71,CB,CB,71,73,165lbs,Right,1,1700000.0,11000.0,3400000.0
2989,Dodô,28,71,Brazil,Sampdoria,71,LM,LM LB,71,70,165lbs,Left,0,2400000.0,13000.0,4300000.0
2990,P. Škuletić,30,68,Serbia,Montpellier HSC,68,ST,ST,68,76,196lbs,Left,0,875000.0,13000.0,1800000.0
2991,G. Burgstaller,31,72,Austria,FC Schalke 04,72,ST,ST,72,74,176lbs,Right,0,2800000.0,21000.0,4800000.0
2992,G. Pezzella,29,78,Argentina,Fiorentina,78,CB,CB,78,73,179lbs,Right,0,8500000.0,50000.0,14500000.0
2993,O. Clarke,28,65,England,Mansfield Town,67,CDM,CM,65,71,170lbs,Right,0,525000.0,5000.0,919000.0
2994,C. Groß,31,68,Germany,SV Werder Bremen,68,CB,CB CDM,68,72,165lbs,Right,0,675000.0,10000.0,1100000.0
2995,A. Novikovas,29,67,Lithuania,BB Erzurumspor,67,LM,LM RM,67,70,168lbs,Left,0,750000.0,5000.0,1500000.0
2996,B. Büchel,30,63,Liechtenstein,FC Vaduz,63,GK,GK,63,74,187lbs,Right,0,250000.0,1000.0,363000.0
2997,M. Correia,31,70,Portugal,SC Paderborn 07,70,CB,CB,70,73,179lbs,Right,0,1300000.0,11000.0,2100000.0
2998,X. Chavalerin,29,77,France,Stade de Reims,77,CDM,CDM,77,70,146lbs,Left,0,7500000.0,26000.0,15000000.0
2999,V. Regini,29,68,Italy,Sampdoria,68,CB,CB LB,68,73,174lbs,Left,0,750000.0,7000.0,1400000.0
3000,Fábio Espinho,33,75,Portugal,Boavista FC,74,CAM,CAM CM,75,69,148lbs,Right,0,4000000.0,8000.0,8500000.0
3001,O. Baumann,30,82,Germany,TSG 1899 Hoffenheim,82,GK,GK,82,74,181lbs,Right,0,15000000.0,37000.0,25500000.0
3002,J. Norwood,29,67,England,Ipswich Town,67,ST,ST,67,71,161lbs,Right,0,750000.0,6000.0,1300000.0
3003,D. Dumić,28,70,Bosnia Herzegovina,FC Twente,70,CB,CB,70,76,187lbs,Right,0,1600000.0,6000.0,2300000.0
3004,Qian Jiegei,28,61,China PR,Shanghai Greenland Shenhua FC,62,CDM,CDM CM,61,70,154lbs,Right,0,220000.0,3000.0,341000.0
3005,N. Pejčinović,30,77,Serbia,Changchun Yatai FC,76,CB,CB RB,77,73,176lbs,Right,0,6500000.0,15000.0,14000000.0
3006,D. Wotherspoon,30,67,Canada,St. Johnstone FC,67,LM,LM RM CM,67,71,168lbs,Right,0,725000.0,3000.0,1300000.0
3007,Y. Belhanda,30,78,Morocco,Galatasaray SK,78,CAM,CAM CM,78,70,165lbs,Right,0,10000000.0,64000.0,19000000.0
3008,L. Ridehalgh,29,63,England,Tranmere Rovers,63,LB,LB LWB,63,70,159lbs,Left,0,300000.0,2000.0,525000.0
3009,Koke,28,85,Spain,Atlético Madrid,85,CM,CM RM LM,85,69,170lbs,Right,0,38000000.0,92000.0,77900000.0
3010,Edu Ramos,28,70,Spain,Cádiz CF,70,CDM,CDM CM,71,69,170lbs,Right,1,1800000.0,15000.0,4099999.9999999995
3011,K. Thamsatchanan,30,67,Thailand,Hokkaido Consadole Sapporo,67,GK,GK,67,72,172lbs,Right,0,525000.0,2000.0,0.0
3012,A. Matthews,27,68,Wales,Charlton Athletic,68,RB,RB,68,70,157lbs,Right,0,800000.0,7000.0,1500000.0
3013,A. Wildig,28,62,England,Morecambe,64,RW,CM CDM,62,69,161lbs,Right,0,300000.0,2000.0,525000.0
3014,I. Hajrović,28,69,Bosnia Herzegovina,Dinamo Zagreb,70,LW,RM,69,70,159lbs,Left,0,1100000.0,500.0,2400000.0
3015,S. Russo,30,62,Italy,US Salernitana 1919,62,GK,GK,62,73,174lbs,Left,0,200000.0,700.0,310000.0
3016,F. Bardi,27,72,Italy,Frosinone,72,GK,GK,72,74,176lbs,Right,0,2200000.0,3000.0,3500000.0
3017,Villalibre,22,71,Spain,Athletic Club de Bilbao,73,ST,ST,78,72,192lbs,Left,7,3400000.0,14000.0,7800000.0
3018,Isma López,30,67,Spain,Dinamo Bucureşti,67,LB,LB LM,67,70,165lbs,Left,0,600000.0,3000.0,810000.0
3019,J. Mason,29,63,Republic of Ireland,Milton Keynes Dons,63,ST,ST,63,70,161lbs,Right,0,375000.0,3000.0,656000.0
3020,T. Dangda,32,68,Thailand,Shimizu S-Pulse,68,ST,ST,68,71,157lbs,Right,0,725000.0,2000.0,906000.0
3021,Rômulo,32,75,Italy,Brescia,75,RM,RM CM CAM,75,70,159lbs,Right,0,5000000.0,15000.0,0.0
3022,Portillo,30,75,Spain,Getafe CF,75,RM,RM LM,75,67,132lbs,Right,0,6500000.0,25000.0,13700000.0
3023,Osmar,32,75,Spain,FC Seoul,75,CDM,CDM CB CM,75,76,190lbs,Left,0,4400000.0,11000.0,5500000.0
3024,C. Hourihane,29,75,Republic of Ireland,Aston Villa,75,CM,CM CDM,75,71,137lbs,Left,0,6500000.0,50000.0,12400000.0
3025,D. Blacha,29,69,Poland,VfL Osnabrück,69,CM,CM CDM CAM,69,69,159lbs,Right,0,1000000.0,7000.0,1600000.0
3026,T. Schick,30,69,Austria,SK Rapid Wien,69,RM,RM RB LM,69,71,161lbs,Right,0,1000000.0,14000.0,1500000.0
3027,André Pinto,29,74,Portugal,Al Fateh,74,CB,CB,74,76,190lbs,Right,0,4700000.0,25000.0,7800000.0
3028,Gil,31,77,Brazil,Shandong Luneng TaiShan FC,76,CB,CB,77,74,212lbs,Right,0,6000000.0,20000.0,12900000.0
3029,F. Đuričić,28,75,Serbia,Sassuolo,75,CAM,CAM LW,75,71,165lbs,Right,0,6500000.0,30000.0,11100000.0
3030,S. Clucas,29,73,England,Stoke City,73,CM,CM CDM,73,74,163lbs,Left,0,3800000.0,24000.0,7200000.0
3031,D. Didavi,30,75,Germany,VfB Stuttgart,75,CAM,CAM CF CM,75,71,170lbs,Left,0,6500000.0,23000.0,11700000.0
3032,J. Ananidze,26,73,Georgia,Spartak Moscow,72,CAM,CAM LW,73,67,141lbs,Right,0,4300000.0,40000.0,6900000.0
3033,J. Hunt,29,71,England,Bristol City,71,RWB,RWB RB,71,69,157lbs,Right,0,2000000.0,25000.0,3800000.0
3034,Escassi,31,70,Spain,Málaga CF,71,CB,CDM CB,70,73,172lbs,Right,0,1300000.0,6000.0,2100000.0
3035,A. Forshaw,28,70,England,Leeds United,70,CDM,CDM CM,70,69,157lbs,Right,0,1600000.0,43000.0,3200000.0
3036,S. Paul,31,57,India,Unknown,56,GK,GK,57,73,172lbs,Right,0,0.0,0.0,0.0
3037,J. Colback,30,66,England,Nottingham Forest,66,CDM,CDM CM,66,70,170lbs,Left,0,525000.0,12000.0,998000.0
3038,N. Uysal,29,70,Turkey,Beşiktaş JK,71,CB,CB CDM,71,71,159lbs,Right,1,1700000.0,29000.0,3500000.0
3039,M. Gueye,25,74,Senegal,Adanaspor,74,CAM,ST LM RM,75,70,161lbs,Left,1,4000000.0,30000.0,0.0
3040,B. Pringle,31,64,England,Morecambe,64,LM,LM,64,68,163lbs,Left,0,400000.0,3000.0,700000.0
3041,C. Montano,28,63,Colombia,Port Vale,63,LB,LB LM,63,71,168lbs,Left,0,325000.0,3000.0,569000.0
3042,L. Brown,29,65,England,Portsmouth,65,LB,LB,65,72,174lbs,Left,0,450000.0,4000.0,788000.0
3043,A. Delort,28,79,Algeria,Montpellier HSC,79,ST,ST,79,71,183lbs,Right,0,13000000.0,43000.0,26000000.0
3044,F. Guerrero,30,67,Ecuador,Independiente del Valle,67,LM,LM RW RM,67,67,157lbs,Left,0,725000.0,500.0,1600000.0
3045,A. Weimann,28,71,Austria,Bristol City,71,ST,ST CAM CM,71,70,168lbs,Right,0,2400000.0,30000.0,4600000.0
3046,J. Collins,29,70,Republic of Ireland,Luton Town,70,ST,ST,70,74,190lbs,Right,0,1800000.0,9000.0,3300000.0
3047,Pelé,28,72,Guinea Bissau,Rio Ave FC,72,CDM,CDM CM,72,72,172lbs,Right,0,2800000.0,8000.0,0.0
3048,André Almeida,29,80,Portugal,SL Benfica,80,RB,RB,80,73,176lbs,Right,0,12000000.0,17000.0,24000000.0
3049,N. Miatke,30,65,Germany,FSV Zwickau,65,LM,LM LB CM,65,70,168lbs,Left,0,500000.0,800.0,725000.0
3050,M. Grün,33,67,Germany,Borussia Mönchengladbach,67,GK,GK,67,75,187lbs,Right,0,400000.0,8000.0,680000.0
3051,L. Sobiech,29,71,Germany,FC Zürich,71,CB,CB,71,77,194lbs,Right,0,2000000.0,10000.0,0.0
3052,J. Greguš,29,71,Slovakia,Minnesota United FC,71,CM,CM CDM,71,74,174lbs,Right,0,2300000.0,6000.0,3500000.0
3053,Airam Cabrera,31,65,Spain,Extremadura UD,65,ST,ST,65,71,172lbs,Right,0,475000.0,2000.0,736000.0
3054,V. Sarı,31,69,Turkey,Antalyaspor,69,CB,CB RB,69,72,168lbs,Right,0,775000.0,8000.0,1600000.0
3055,A. Potuk,29,72,Turkey,MKE Ankaragücü,72,CAM,CAM LM RM,72,70,148lbs,Right,0,3000000.0,20000.0,6000000.0
3056,Flavio Paixão,35,69,Portugal,Lechia Gdańsk,69,ST,ST,69,72,165lbs,Right,0,475000.0,5000.0,641000.0
3057,C. Moritz,30,70,Germany,SSV Jahn Regensburg,70,CDM,CDM CM,70,73,176lbs,Right,0,1500000.0,7000.0,2300000.0
3058,M. Jacobs,28,69,England,Portsmouth,69,LM,LM,69,69,163lbs,Right,0,1100000.0,7000.0,1900000.0
3059,W. Grigg,28,65,Northern Ireland,Sunderland,65,ST,ST,65,71,154lbs,Right,0,550000.0,4000.0,963000.0
3060,Leonardo,33,73,Brazil,Shandong Luneng TaiShan FC,74,LW,LM LW,73,68,143lbs,Left,0,2400000.0,16000.0,3800000.0
3061,A. Gray,29,74,England,Watford,74,ST,ST,74,71,172lbs,Right,0,5500000.0,19000.0,9900000.0
3062,K. Long,29,71,Republic of Ireland,Burnley,71,CB,CB,71,74,181lbs,Right,0,2000000.0,29000.0,3800000.0
3063,F. Ulvestad,28,72,Norway,Djurgårdens IF,73,CDM,CM CDM,72,72,185lbs,Right,0,3100000.0,7000.0,3900000.0
3064,S. Moore,30,67,England,Sheffield United,67,GK,GK,67,75,183lbs,Right,0,525000.0,8000.0,998000.0
3065,J. Raitala,31,67,Finland,Montreal Impact,68,CDM,CB LB LWB,67,71,170lbs,Left,0,575000.0,3000.0,834000.0
3066,K. Musona,30,70,Zimbabwe,KAS Eupen,70,ST,ST LW CAM,70,70,157lbs,Right,0,1700000.0,8000.0,0.0
3067,Keko,27,70,Spain,Deportivo de La Coruña,70,RM,RM,70,68,150lbs,Right,0,1900000.0,6000.0,3000000.0
3068,M. Mahlangu,27,72,South Africa,South Africa,72,CAM,CAM CM,72,68,148lbs,Right,0,0.0,0.0,0.0
3069,F. Diagne,30,70,Senegal,Atiker Konyaspor,70,CB,CB CDM,70,73,172lbs,Right,0,1400000.0,9000.0,2800000.0
3070,J. Delle,30,68,France,Orlando Pirates,68,GK,GK,69,74,185lbs,Left,1,700000.0,500.0,1600000.0
3071,P. Jansson,29,75,Sweden,Brentford,76,CB,CB,76,76,190lbs,Right,1,6500000.0,38000.0,12800000.0
3072,N. Tomović,32,70,Serbia,SPAL,70,CB,CB RB,70,72,174lbs,Right,0,1100000.0,17000.0,2000000.0
3073,Y. El Arabi,33,78,Morocco,Olympiacos CFP,78,ST,ST,78,72,185lbs,Right,0,6500000.0,500.0,13700000.0
3074,A. Mazzotta,30,70,Italy,Crotone,70,LM,LM LB,70,72,161lbs,Left,0,1700000.0,8000.0,3100000.0
3075,Laguardia,30,78,Spain,Deportivo Alavés,78,CB,CB,78,73,176lbs,Right,0,8500000.0,25000.0,17900000.0
3076,Hugo Mallo,29,78,Spain,RC Celta,78,RB,RB,78,68,152lbs,Right,0,8500000.0,25000.0,17900000.0
3077,Ryang Yong Gi,38,60,Korea DPR,Sagan Tosu,62,CAM,CF LM,60,68,159lbs,Right,0,70000.0,750.0,88000.0
3078,A. Shafi,37,67,Jordan,Al Fayha,67,GK,GK,67,72,183lbs,Right,0,80000.0,4000.0,132000.0
3079,D. Ward,29,68,England,Huddersfield Town,68,ST,ST,68,71,159lbs,Left,0,900000.0,13000.0,1700000.0
3080,Javi Ros,30,69,Spain,Real Zaragoza,69,CM,CM CDM,69,68,150lbs,Right,0,975000.0,5000.0,1600000.0
3081,R. Gikiewicz,32,77,Poland,FC Augsburg,77,GK,GK,77,75,179lbs,Right,0,5500000.0,21000.0,9900000.0
3082,Daniel Ayala,29,71,Spain,Blackburn Rovers,72,CB,CB,72,75,185lbs,Right,1,2200000.0,25000.0,4300000.0
3083,Y. Nagatomo,33,75,Japan,Olympique de Marseille,75,LB,LB RB,75,67,150lbs,Right,0,3000000.0,30000.0,5700000.0
3084,T. Makino,33,67,Japan,Urawa Red Diamonds,67,CB,CB,67,72,170lbs,Right,0,350000.0,4000.0,438000.0
3085,N. Yamada,29,64,Japan,Shonan Bellmare,64,CF,CF CAM CM,64,66,146lbs,Right,0,450000.0,2000.0,563000.0
3086,S. Okazaki,34,72,Japan,SD Huesca,72,ST,ST CAM,72,69,154lbs,Right,0,1600000.0,18000.0,3500000.0
3087,Neto,30,82,Brazil,FC Barcelona,82,GK,GK,82,75,185lbs,Right,0,15000000.0,125000.0,30800000.0
3088,C. Henderson,24,61,Republic of Ireland,Crawley Town,62,LM,CM,64,73,163lbs,Left,3,275000.0,2000.0,0.0
3089,M. Kirkeskov,28,70,Denmark,Piast Gliwice,70,LB,LB,70,72,185lbs,Left,0,1500000.0,5000.0,2000000.0
3090,Montoya B,29,77,Spain,Real Betis,77,RB,RB RWB,77,69,161lbs,Right,0,7500000.0,23000.0,15800000.0
3091,Rubén Miño,31,68,Spain,UD Logroñés,68,GK,GK,68,75,190lbs,Right,0,575000.0,3000.0,891000.0
3092,S. Ilsanker,31,74,Austria,Eintracht Frankfurt,74,CB,CB CDM,74,74,190lbs,Right,0,4200000.0,22000.0,7100000.0
3093,M. Ritzmaier,27,70,Austria,Barnsley,72,CAM,CM LM,71,71,163lbs,Left,1,2000000.0,8000.0,3900000.0
3094,A. Eastham,29,62,England,Salford City,62,CB,CB,62,75,198lbs,Left,0,250000.0,4000.0,438000.0
